"# SETFOS, Semiconducting Thin Film Optics Simulator",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Parameter file:    C:\Users\Deniz\Documents\Setfos\workspace\PoSiT.parx,,,,,,,,,,,,,,,,,
# Host name:         DESKTOP-H9RHCC3,,,,,,,,,,,,,,,,,
# Operating system:  Windows_NT,,,,,,,,,,,,,,,,,
# User:              Deniz,,,,,,,,,,,,,,,,,
# Time of execution: Wed Aug 19 06:55:13 2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# CPU time elapsed: 30.13 s,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Wavelength(nm),R(),T(),A(),R.s(),T.s(),A.s(),R.p(),T.p(),A.p(),haze_ref(),A_unpol(),ITO_Top.A(),SnOx.A(),PSK.A(),HTL.A(),ITO_Bot.A(),Si_2.A()
6.15E+02,6.35E-04,4.42E-46,9.99E-01,6.35E-04,4.42E-46,9.99E-01,6.35E-04,4.42E-46,9.99E-01,1.00E+00,9.99E-01,0.00E+00,5.67E-04,9.48E-01,6.57E-05,0.00E+00,5.06E-02
6.30E+02,5.23E-04,1.23E-39,9.99E-01,5.23E-04,1.23E-39,9.99E-01,5.23E-04,1.23E-39,9.99E-01,1.00E+00,9.99E-01,0.00E+00,5.63E-04,9.35E-01,7.75E-05,0.00E+00,6.42E-02
6.45E+02,6.75E-04,1.57E-37,9.99E-01,6.75E-04,1.57E-37,9.99E-01,6.75E-04,1.57E-37,9.99E-01,1.00E+00,9.99E-01,0.00E+00,5.73E-04,9.21E-01,9.34E-05,0.00E+00,7.77E-02
6.60E+02,1.11E-03,1.47E-33,9.99E-01,1.11E-03,1.47E-33,9.99E-01,1.11E-03,1.47E-33,9.99E-01,1.00E+00,9.99E-01,0.00E+00,5.92E-04,9.03E-01,1.11E-04,0.00E+00,9.53E-02
6.75E+02,1.51E-03,1.08E-29,9.98E-01,1.51E-03,1.08E-29,9.98E-01,1.51E-03,1.08E-29,9.98E-01,1.00E+00,9.98E-01,0.00E+00,6.17E-04,8.90E-01,1.24E-04,0.00E+00,1.08E-01
6.90E+02,1.53E-03,5.03E-26,9.98E-01,1.53E-03,5.03E-26,9.98E-01,1.53E-03,5.03E-26,9.98E-01,1.00E+00,9.98E-01,0.00E+00,6.29E-04,8.89E-01,1.22E-04,0.00E+00,1.08E-01
7.05E+02,2.30E-03,2.92E-24,9.98E-01,2.30E-03,2.92E-24,9.98E-01,2.30E-03,2.92E-24,9.98E-01,1.00E+00,9.98E-01,0.00E+00,6.40E-04,8.45E-01,1.72E-04,0.00E+00,1.52E-01
7.20E+02,5.69E-03,2.27E-22,9.94E-01,5.69E-03,2.27E-22,9.94E-01,5.69E-03,2.27E-22,9.94E-01,1.00E+00,9.94E-01,0.00E+00,7.86E-04,5.61E-01,4.89E-04,0.00E+00,4.32E-01
7.35E+02,2.40E-03,7.48E-18,9.98E-01,2.40E-03,7.48E-18,9.98E-01,2.40E-03,7.48E-18,9.98E-01,1.00E+00,9.98E-01,0.00E+00,9.70E-04,2.13E-01,8.71E-04,0.00E+00,7.83E-01
7.50E+02,7.01E-04,1.18E-13,9.99E-01,7.01E-04,1.18E-13,9.99E-01,7.01E-04,1.18E-13,9.99E-01,1.00E+00,9.99E-01,0.00E+00,8.83E-04,3.64E-02,1.03E-03,0.00E+00,9.61E-01
