wl,n,k
300.0,1.8022099999999999,0.204936
301.0,1.8022099999999999,0.204936
302.0,1.8022099999999999,0.204936
303.0,1.801880193548387,0.20450022795698927
304.0,1.8014156774193548,0.20388646451612905
305.0,1.8009555927180354,0.2032760766299746
306.0,1.800502586790855,0.20267108086367486
307.0,1.8000496413678062,0.20206627481234363
308.0,1.7995992660550457,0.2014695275229358
309.0,1.7991488907422852,0.20087278023352795
310.0,1.7987029064039408,0.20028159441707716
311.0,1.7982595566502464,0.19969374548440064
312.0,1.7978175272727273,0.19910749454545454
313.0,1.7973811636363637,0.1985281006060606
314.0,1.7969448000000001,0.19794870666666664
315.0,1.796516109785203,0.19737516229116944
316.0,1.7960904932378678,0.19680396101829753
317.0,1.7956654598825832,0.19623451467710373
318.0,1.795242759295499,0.19567208806262232
319.0,1.7948200587084149,0.1951096614481409
320.0,1.7943892411402158,0.19453631741140215
321.0,1.7939539560862867,0.19395696456086287
322.0,1.7935186472148543,0.1933776472148541
323.0,1.793082876089428,0.19279901894657064
324.0,1.7926471049640016,0.1922203906782872
325.0,1.792215792023854,0.19164550018635854
326.0,1.7917908945210586,0.19107598844576965
327.0,1.7913659970182632,0.19050647670518076
328.0,1.790943417675101,0.1899428456178951
329.0,1.7905217088375505,0.18938142280894757
330.0,1.7901,0.18882000000000002
331.0,1.789660043274432,0.1882354345474216
332.0,1.789220086548864,0.18765086909484316
333.0,1.7887817943262412,0.18706835425531917
334.0,1.7883491702127658,0.18649282234042555
335.0,1.7879165460992907,0.18591729042553193
336.0,1.7874869292436388,0.18534547542697805
337.0,1.7870616939700243,0.18477907598466364
338.0,1.78663645869641,0.18421267654234924
339.0,1.7819545149125815,0.1863003465889613
340.0,1.773617182036339,0.19066716181007884
341.0,1.7652798491600963,0.19503397703119638
342.0,1.7514820545638266,0.2030100646682383
343.0,1.7343517076456723,0.21318891276524066
344.0,1.7172213607275177,0.22336776086224303
345.0,1.7001263443708612,0.23385790198675474
346.0,1.683050185430464,0.24451419337748306
347.0,1.665974026490067,0.2551704847682114
348.0,1.6508288418998054,0.26550102277163273
349.0,1.636808022121015,0.27564188158750813
350.0,1.6227872023422245,0.2857827404033836
351.0,1.6185783988494729,0.2925747526366253
352.0,1.622141837647811,0.29671409427932266
353.0,1.625705276446149,0.30085343592201996
354.0,1.6292386723163843,0.3049373088512242
355.0,1.6327320809792845,0.3089473527934716
356.0,1.6362254896421848,0.31295739673571893
357.0,1.639703977798335,0.31693765032377447
358.0,1.64313598519889,0.32082510021584965
359.0,1.646567992599445,0.3247125501079248
360.0,1.65,0.3286
361.0,1.6559703300030275,0.33107683923705716
362.0,1.661940660006055,0.3335536784741144
363.0,1.6679109900090825,0.33603051771117154
364.0,1.6737623513674196,0.33844580231866817
365.0,1.679561994649227,0.340834327883472
366.0,1.6853616379310346,0.3432228534482759
367.0,1.691122443082312,0.345559272329247
368.0,1.6968054553415062,0.34779132136602453
369.0,1.7024884676007006,0.3500233704028021
370.0,1.708171479859895,0.35225541943957966
371.0,1.7154219816723941,0.3521250827605957
372.0,1.7228332073310424,0.35175251689576176
373.0,1.7302444329896909,0.35137995103092784
374.0,1.7375566160764475,0.35102285019673973
375.0,1.744729184935357,0.3506875494659921
376.0,1.7519017537942663,0.3503522487352445
377.0,1.7590743226531758,0.35001694800449695
378.0,1.7661741588527302,0.3490094247104248
379.0,1.773261858797573,0.34788973359073366
380.0,1.7803495587424158,0.3467700424710425
381.0,1.7875151609413038,0.3449808761157696
382.0,1.794940100081147,0.34096302380308363
383.0,1.80236503922099,0.3369451714903977
384.0,1.809789978360833,0.33292731917771173
385.0,1.8171108384186787,0.32901831918280716
386.0,1.8243408729105863,0.3252043101618467
387.0,1.831570907402494,0.32139030114088624
388.0,1.8388009418944016,0.3175762921199258
389.0,1.8451906997918834,0.31216761446409996
390.0,1.851322333506764,0.3062690712799168
391.0,1.8574539672216441,0.30037052809573367
392.0,1.8635856009365246,0.2944719849115505
393.0,1.8689580413159907,0.28705163963274677
394.0,1.8742653608773272,0.27950075975516453
395.0,1.8795726804386634,0.27194987987758223
396.0,1.8848799999999999,0.264399
397.0,1.8901599999999998,0.25714925
398.0,1.8954399999999998,0.2498995
399.0,1.90072,0.24264975
400.0,1.906,0.2354
401.0,1.9070754532092111,0.22565943165115138
402.0,1.9081509064184223,0.21591886330230275
403.0,1.9092263596276338,0.20617829495345413
404.0,1.910301812836845,0.19643772660460554
405.0,1.9115383265306125,0.18690069795918354
406.0,1.9127892268907565,0.17738185042016785
407.0,1.9140401272509004,0.16786300288115216
408.0,1.9152910276110444,0.15834415534213647
409.0,1.9142650317422993,0.14934170656007492
410.0,1.9124921655302138,0.14050864754291065
411.0,1.9107192993181283,0.1316755885257464
412.0,1.9089464331060426,0.12284252950858213
413.0,1.906153044679871,0.11419947996315061
414.0,1.902339134039613,0.10574643988945182
415.0,1.898525223399355,0.09729339981575302
416.0,1.894711312759097,0.08884035974205423
417.0,1.8907956798196166,0.08058159492671915
418.0,1.8863379571589627,0.07335814509582853
419.0,1.8818802344983088,0.06613469526493788
420.0,1.8774225118376549,0.05891124543404725
421.0,1.872964789177001,0.05168779560315662
422.0,1.86708453742548,0.04660186586442918
423.0,1.8606592779863103,0.04233487535879879
424.0,1.8542340185471404,0.03806788485316841
425.0,1.8478087591079708,0.033800894347538024
426.0,1.8414146187081442,0.029599245214949173
427.0,1.8351497666882695,0.025669065910563792
428.0,1.8288849146683948,0.021738886606178412
429.0,1.82262006264852,0.01780870730179303
430.0,1.8163552106286454,0.013878527997407651
