wl,n,k
300.0,5.01936,3.98684
301.0,5.01936,3.98684
302.0,5.01936,3.98684
303.0,5.01968064516129,3.9430643010752697
304.0,5.020132258064516,3.881408387096775
305.0,5.019989466553768,3.8227762828111778
306.0,5.018897171888231,3.768974419983066
307.0,5.017773027522936,3.7154046371976657
308.0,5.015295963302752,3.671693211009175
309.0,5.012818899082569,3.627981784820684
310.0,5.011192134646962,3.587801001642036
311.0,5.010075550082102,3.5497386042692933
312.0,5.009174581818182,3.5130106181818173
313.0,5.009198824242424,3.4820085979797977
314.0,5.009223066666667,3.451006577777778
315.0,5.010366038186158,3.4237731026252987
316.0,5.011957128082737,3.398049156722355
317.0,5.013802211350294,3.3724719569471624
318.0,5.0166632681017616,3.3474817416829747
319.0,5.019524324853229,3.322491526418787
320.0,5.023844506933744,3.300861621725732
321.0,5.02896777349769,3.281081190292758
322.0,5.034175888594166,3.2613026259946944
323.0,5.041030757862828,3.241560299355816
324.0,5.04788562713149,3.221817972716938
325.0,5.055151319418562,3.202929672008945
326.0,5.063008196049199,3.185270335445397
327.0,5.070865072679836,3.167610998881848
328.0,5.079762808947562,3.152707440410708
329.0,5.089051404473781,3.138838720205354
330.0,5.09834,3.1249700000000002
331.0,5.109198276235125,3.1108517165524705
332.0,5.120056552470249,3.0967334331049408
333.0,5.131176414893616,3.083297241134752
334.0,5.143187053191489,3.072183765957447
335.0,5.155197691489361,3.061070290780142
336.0,5.167602913907284,3.0500893935169047
337.0,5.180583046357616,3.039301662600209
338.0,5.193563178807947,3.0285139316835132
339.0,5.207636455262256,3.020272859101817
340.0,5.222648453890984,3.0142186938635587
341.0,5.237660452519712,3.0081645286253003
342.0,5.254163640956551,3.0026070831929945
343.0,5.271576911417986,2.997352788817784
344.0,5.28899018187942,2.9920984944425735
345.0,5.309333549668874,2.988048450331126
346.0,5.331240834437085,2.984641165562914
347.0,5.353148119205297,2.981233880794702
348.0,5.3796580676642805,2.9822888353936237
349.0,5.408848048145739,2.985942055953155
350.0,5.438038028627197,2.989595276512687
351.0,5.474028609779484,2.9939955417066155
352.0,5.515406046660276,2.998987551933525
353.0,5.556783483541069,3.003979562160435
354.0,5.605968220338985,3.009613248587571
355.0,5.665544491525426,3.016101007532957
356.0,5.725120762711867,3.022588766478343
357.0,5.79135867715079,3.024483293246993
358.0,5.878349118100528,3.012068862164662
359.0,5.965339559050264,2.999654431082331
360.0,6.05233,2.9872400000000003
361.0,6.153395697850438,2.9355506267029985
362.0,6.254461395700875,2.883861253405996
363.0,6.355527093551312,2.8321718801089943
364.0,6.447825383472053,2.7458548365041655
365.0,6.536312303804992,2.644484444114151
366.0,6.624799224137932,2.5431140517241366
367.0,6.696167049036778,2.431280788091065
368.0,6.733245274372447,2.2984903619381187
369.0,6.770323499708114,2.1656999357851725
370.0,6.807401725043783,2.0329095096322263
371.0,6.805816305841924,1.9007513258877442
372.0,6.8002664776632304,1.768657969644902
373.0,6.794716649484536,1.6365646134020602
374.0,6.772718018549746,1.5160929089376038
375.0,6.727532521079258,1.4120035328836424
376.0,6.682347023608769,1.307914156829681
377.0,6.637161526138281,1.2038247807757194
378.0,6.5821681798124665,1.1253473383894115
379.0,6.525538284611143,1.051143532542748
380.0,6.468908389409818,0.9769397266960846
381.0,6.412242299161482,0.9084941422775227
382.0,6.355455715444956,0.8592177019204764
383.0,6.2986691317284285,0.8099412615634303
384.0,6.241882548011902,0.760664821206384
385.0,6.188738418678695,0.7194714751923591
386.0,6.138772910586363,0.6853319156274879
387.0,6.088807402494031,0.6511923560626165
388.0,6.038841894401699,0.6170527964977452
389.0,5.992971527055151,0.589769871227888
390.0,5.948359144120708,0.564593232310094
391.0,5.903746761186264,0.5394165933923
392.0,5.859134378251821,0.514239954474506
393.0,5.820094774292272,0.494923469013007
394.0,5.781533182861515,0.47610964600867134
395.0,5.7429715914307575,0.45729582300433563
396.0,5.70441,0.438482
397.0,5.6708075000000004,0.4256115
398.0,5.637205,0.412741
399.0,5.6036025,0.3998705
400.0,5.57,0.387
401.0,5.540658990690838,0.37543826555609994
402.0,5.5113179813816755,0.36387653111219986
403.0,5.4819769720725136,0.3523147966682998
404.0,5.452635962763352,0.34075306222439977
405.0,5.425542081632653,0.3330964367346938
406.0,5.3986489243697475,0.32578863361344523
