wl,n,k
527,1.2952000000000001,5.417
528,1.2978,5.428
529,1.3004000000000002,5.439
530,1.3030000000000002,5.45
531,1.3058,5.4590000000000005
532,1.3086000000000002,5.468
533,1.3114000000000001,5.477
534,1.3142,5.486
535,1.3170000000000002,5.495
536,1.3198,5.5040000000000004
537,1.3226,5.513
538,1.3254,5.522
539,1.3282,5.531
540,1.331,5.54
541,1.3340999999999998,5.551
542,1.3372,5.562
543,1.3403,5.573
544,1.3434,5.5840000000000005
545,1.3464999999999998,5.595000000000001
546,1.3496,5.606
547,1.3527,5.617
548,1.3558,5.628
549,1.3588999999999998,5.639
550,1.3619999999999999,5.65
551,1.3654,5.66
552,1.3687999999999998,5.67
553,1.3721999999999999,5.680000000000001
554,1.3756,5.69
555,1.379,5.7
556,1.3823999999999999,5.71
557,1.3858,5.72
558,1.3892,5.73
559,1.3925999999999998,5.74
560,1.396,5.75
561,1.3995,5.76
562,1.403,5.77
563,1.4064999999999999,5.78
564,1.41,5.79
565,1.4135,5.8
566,1.417,5.81
567,1.4205,5.819999999999999
568,1.424,5.83
569,1.4275,5.84
570,1.431,5.85
571,1.4346,5.859
572,1.4382,5.867999999999999
573,1.4418,5.877
574,1.4454,5.886
575,1.4489999999999998,5.895
576,1.4526,5.904
577,1.4562,5.913
578,1.4598,5.922000000000001
579,1.4633999999999998,5.931
580,1.4669999999999999,5.94
581,1.4709999999999999,5.949000000000001
582,1.4749999999999999,5.958
583,1.4789999999999999,5.9670000000000005
584,1.4829999999999999,5.976
585,1.4869999999999999,5.985
586,1.4909999999999999,5.994000000000001
587,1.4949999999999999,6.003
588,1.4989999999999999,6.0120000000000005
589,1.503,6.021
590,1.507,6.03
591,1.511,6.04
592,1.515,6.05
593,1.519,6.0600000000000005
594,1.523,6.07
595,1.527,6.08
596,1.531,6.09
597,1.535,6.1
598,1.539,6.11
599,1.543,6.12
600,1.547,6.13
601,1.5507,6.139
602,1.5544,6.148
603,1.5581,6.157
604,1.5618,6.1659999999999995
605,1.5655000000000001,6.175
606,1.5692,6.184
607,1.5729,6.193
608,1.5766,6.202
609,1.5803,6.210999999999999
610,1.584,6.22
611,1.5882,6.2299999999999995
612,1.5924,6.24
613,1.5966,6.25
614,1.6008,6.26
615,1.605,6.27
616,1.6092,6.28
617,1.6134,6.29
618,1.6176,6.3
619,1.6218,6.3100000000000005
620,1.626,6.32
621,1.6305999999999998,6.329000000000001
622,1.6352,6.338
623,1.6398,6.347
624,1.6443999999999999,6.356
625,1.649,6.365
626,1.6536,6.3740000000000006
627,1.6582,6.383
628,1.6627999999999998,6.392
629,1.6674,6.401
630,1.672,6.41
631,1.6764999999999999,6.418
632,1.6809999999999998,6.426
633,1.6855,6.434
634,1.69,6.442
635,1.6945,6.45
636,1.6989999999999998,6.458
637,1.7034999999999998,6.466
638,1.708,6.474
639,1.7125,6.482
640,1.7169999999999999,6.49
641,1.7215999999999998,6.4990000000000006
642,1.7262,6.508
643,1.7308,6.517
644,1.7354,6.526
645,1.74,6.535
646,1.7446,6.5440000000000005
647,1.7492,6.553
648,1.7538,6.562
649,1.7584000000000002,6.571
650,1.7630000000000001,6.58
651,1.7683,6.589
652,1.7736,6.598
653,1.7789000000000001,6.607
654,1.7842,6.616
655,1.7894999999999999,6.625
656,1.7948,6.634
657,1.8001,6.643
658,1.8054,6.652
659,1.8106999999999998,6.661
660,1.8159999999999998,6.67
661,1.8211,6.679
662,1.8261999999999998,6.688
663,1.8313,6.697
664,1.8363999999999998,6.7059999999999995
665,1.8415,6.715
666,1.8466,6.724
667,1.8517,6.733
668,1.8568,6.742
669,1.8618999999999999,6.7509999999999994
670,1.867,6.76
671,1.8731,6.769
672,1.8792,6.778
673,1.8853,6.787
674,1.8914,6.795999999999999
675,1.8975,6.805
676,1.9036000000000002,6.814
677,1.9097000000000002,6.8229999999999995
678,1.9158000000000002,6.832
679,1.9219000000000002,6.840999999999999
680,1.9280000000000002,6.85
681,1.9342000000000001,6.859
682,1.9404000000000001,6.867999999999999
683,1.9466,6.877
684,1.9528,6.886
685,1.959,6.895
686,1.9652,6.904
687,1.9714,6.913
688,1.9776,6.922000000000001
689,1.9838,6.931
690,1.99,6.94
691,1.9966,6.947
692,2.0032,6.954000000000001
693,2.0098,6.961
694,2.0164,6.968
695,2.023,6.975
696,2.0296,6.982
697,2.0362,6.989
698,2.0428,6.9959999999999996
699,2.0494,7.003
700,2.056,7.01
701,2.0641,7.018
702,2.0722,7.026
703,2.0803000000000003,7.034
704,2.0884,7.042
705,2.0965,7.05
706,2.1046,7.058
707,2.1127000000000002,7.066
708,2.1208,7.074
709,2.1289,7.082
710,2.137,7.09
711,2.1461,7.098
712,2.1552000000000002,7.106
713,2.1643,7.114
714,2.1734,7.122
715,2.1825,7.13
716,2.1916,7.138
717,2.2007000000000003,7.146
718,2.2098,7.154
719,2.2189,7.162
720,2.228,7.17
721,2.2373000000000003,7.177
722,2.2466,7.184
723,2.2559,7.191
724,2.2652,7.198
725,2.2744999999999997,7.205
726,2.2838,7.212
727,2.2931,7.219
728,2.3024,7.226
729,2.3116999999999996,7.2330000000000005
730,2.3209999999999997,7.24
731,2.3314,7.242
732,2.3417999999999997,7.244
733,2.3522,7.246
734,2.3625999999999996,7.248
735,2.3729999999999998,7.25
736,2.3834,7.252
737,2.3937999999999997,7.254
738,2.4042,7.256
739,2.4145999999999996,7.258
740,2.425,7.26
741,2.4354999999999998,7.262
742,2.4459999999999997,7.264
743,2.4564999999999997,7.266
744,2.4669999999999996,7.268
745,2.4775,7.27
746,2.488,7.272
747,2.4985,7.274
748,2.509,7.276
749,2.5195,7.2780000000000005
750,2.53,7.28
751,2.5374999999999996,7.279
752,2.545,7.2780000000000005
753,2.5524999999999998,7.277
754,2.56,7.276
755,2.5675,7.275
756,2.5749999999999997,7.274
757,2.5825,7.273
758,2.59,7.271999999999999
759,2.5975,7.271
760,2.605,7.27
761,2.6128,7.268999999999999
762,2.6206,7.268
763,2.6284,7.2669999999999995
764,2.6362,7.266
765,2.644,7.265
766,2.6518,7.263999999999999
767,2.6596,7.263
768,2.6674,7.262
769,2.6752000000000002,7.261
770,2.6830000000000003,7.26
771,2.6897,7.257
772,2.6964,7.254
773,2.7031,7.251
774,2.7098,7.248
775,2.7165,7.245
776,2.7232000000000003,7.242
777,2.7299,7.239
778,2.7366,7.236000000000001
779,2.7433,7.2330000000000005
780,2.75,7.23
781,2.7556,7.2250000000000005
782,2.7612,7.220000000000001
783,2.7668,7.215
784,2.7724,7.21
785,2.778,7.205
786,2.7836,7.2
787,2.7892,7.195
788,2.7948,7.1899999999999995
789,2.8004000000000002,7.185
790,2.806,7.18
791,2.8116,7.175
792,2.8172,7.17
