,wl,power
319,619,0.027107204358826985
320,620,0.027816632417982472
321,621,0.028651535173760966
322,622,0.028325410409641847
323,623,0.02883621270631631
324,624,0.0294719034439461
325,625,0.03002218757348035
326,626,0.030750713385711552
327,627,0.032440165401428564
328,628,0.03144740346440228
329,629,0.03338264370958408
330,630,0.033763153484301936
331,631,0.035207131652788735
332,632,0.03476469648709864
333,633,0.037916483034606714
334,634,0.03827366993462691
335,635,0.039721896154176775
336,636,0.039798474786431864
337,637,0.04219335512329017
338,638,0.04353859129958598
339,639,0.044444402245871505
340,640,0.0446044398510521
341,641,0.045736635060983605
342,642,0.04694949909013626
343,643,0.04859173165000003
344,644,0.04955652214411183
345,645,0.051120563004391315
346,646,0.05083661219227317
347,647,0.05179645758451618
348,648,0.05250395195489748
349,649,0.05205753211383459
350,650,0.05354898888413123
351,651,0.05819777792411663
352,652,0.05713158541382047
353,653,0.06026499247083329
354,654,0.06093238016249997
355,655,0.059398991387753466
356,656,0.053284186132378
357,657,0.05692998841945311
358,658,0.0650219094360294
359,659,0.06665531390999996
360,660,0.06848811462262659
361,661,0.06961498567265223
362,662,0.07047352854260273
363,663,0.07205151131362322
364,664,0.0741653795122789
365,665,0.07698007384277732
366,666,0.0784265276385486
367,667,0.07937597934849466
368,668,0.08117635645248114
369,669,0.08413628136683426
370,670,0.08451156652928216
371,671,0.08587643968217966
372,672,0.08618679152616912
373,673,0.08845918310407921
374,674,0.08984623296105707
375,675,0.09058938744615642
376,676,0.09312894332065584
377,677,0.09374737173166675
378,678,0.09572646951967419
379,679,0.09638026604430643
380,680,0.09798493633982971
381,681,0.09904058113641875
382,682,0.10094557747645731
383,683,0.10127417038266455
384,684,0.10201938302779377
385,685,0.10349057486142293
386,686,0.10251233004214969
387,687,0.07483048710915553
388,688,0.08771946777454545
389,689,0.08940115996394009
390,690,0.09486686990518517
391,691,0.10016306869598908
392,692,0.10425102323347152
393,693,0.10476113027913482
394,694,0.10469526428720184
395,695,0.10793686721515904
396,696,0.1087945013539675
397,697,0.1161045388817103
398,698,0.11536750467311822
399,699,0.1140054372274193
400,700,0.11416573095305042
401,701,0.11365786544379285
402,702,0.11470789681567206
403,703,0.11624133282059224
404,704,0.12013577415220876
405,705,0.12226209549519575
406,706,0.12247834205441441
407,707,0.12281028585420418
408,708,0.12320801979180862
409,709,0.12442675092518624
410,710,0.1259549774228486
411,711,0.1265316048364985
412,712,0.12647218215787723
413,713,0.12570747598705448
414,714,0.1274814026112986
415,715,0.12380228558151142
416,716,0.12572589174924764
