Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
408,1.1575000000000002,0.2102327084680026,0.2102327084680026,0,0.7897672915319974,0,0,0,0,1
410,1.125,0.2097294372294372,0.2097294372294372,0,0.7902705627705628,0,0,0,0,1
412,1.2100000000000002,0.16827963702963705,0.16827963702963705,0,0.8317203629703631,0,0,0,0,1
414,1.1924999999999997,0.2054279054279054,0.2054279054279054,0,0.7945720945720945,0,0,0,0,1
416,1.2425,0.22209584533113946,0.22209584533113946,0,0.7779041546688605,0,0,0,0,1
418,1.1974999999999998,0.19611111111111112,0.19611111111111112,0,0.803888888888889,0,0,0,0,1
420,1.1825000000000003,0.1418253968253968,0.1418253968253968,0,0.8581746031746033,0,0,0,0,1
422,1.2450000000000003,0.15462662337662336,0.15462662337662336,0,0.8453733766233766,0,0,0,0,1
424,1.2200000000000002,0.16575757575757574,0.16575757575757574,0,0.8342424242424243,0,0,0,0,1
426,1.2100000000000002,0.14181318681318678,0.14181318681318678,0,0.8581868131868132,0,0,0,0,1
428,1.1549999999999996,0.10219988344988344,0.10219988344988344,0,0.8978001165501166,0,0,0,0,1
430,0.9065000000000001,0.13205960705960706,0.13205960705960706,0,0.8679403929403928,0,0,0,0,1
432,1.1655,0.1545238095238095,0.1545238095238095,0,0.8454761904761904,0,0,0,0,1
434,1.1825000000000003,0.10011459129106189,0.10011459129106189,0,0.8998854087089381,0,0,0,0,1
436,1.3375000000000001,0.1783954933954934,0.1783954933954934,0,0.8216045066045066,0,0,0,0,1
438,1.25,0.14714257964257965,0.14714257964257965,0,0.8528574203574204,0,0,0,0,1
440,1.3000000000000003,0.14643079143079143,0.14643079143079143,0,0.8535692085692086,0,0,0,0,1
442,1.4024999999999999,0.13199346405228757,0.13199346405228757,0,0.8680065359477123,0,0,0,0,1
444,1.425,0.12525432900432903,0.12525432900432903,0,0.874745670995671,0,0,0,0,1
446,1.3925,0.10961399711399711,0.10961399711399711,0,0.8903860028860029,0,0,0,0,1
448,1.4975000000000003,0.11887667887667888,0.11887667887667888,0,0.881123321123321,0,0,0,0,1
450,1.5575000000000003,0.07003968253968254,0.07003968253968254,0,0.9299603174603174,0,0,0,0,1
452,1.5299999999999998,0.09452491952491952,0.09452491952491952,0,0.9054750804750805,0,0,0,0,1
454,1.5024999999999997,0.18767059694691274,0.18767059694691274,0,0.8123294030530873,0,0,0,0,1
456,1.5600000000000003,0.13836707152496627,0.13836707152496627,0,0.8616329284750336,0,0,0,0,1
458,1.5525,0.10949134199134199,0.10949134199134199,0,0.8905086580086581,0,0,0,0,1
460,1.5374999999999999,0.15025787937552643,0.15025787937552643,0,0.8497421206244736,0,0,0,0,1
462,1.59,0.049872349872349876,0.049872349872349876,0,0.95012765012765,0,0,0,0,1
464,1.5575000000000003,0.1456080031080031,0.1456080031080031,0,0.8543919968919969,0,0,0,0,1
466,1.535,0.1564282939282939,0.1564282939282939,0,0.8435717060717061,0,0,0,0,1
468,1.5425000000000002,0.08557210763093115,0.08557210763093115,0,0.914427892369069,0,0,0,0,1
470,1.5225000000000002,0.14347216508981214,0.14347216508981214,0,0.8565278349101879,0,0,0,0,1
472,1.575,0.11532828282828285,0.11532828282828285,0,0.8846717171717172,0,0,0,0,1
474,1.57,0.08276066039223934,0.08276066039223934,0,0.9172393396077606,0,0,0,0,1
476,1.5749999999999997,0.0677457264957265,0.0677457264957265,0,0.9322542735042735,0,0,0,0,1
478,1.5999999999999999,0.1639212421565363,0.1639212421565363,0,0.8360787578434637,0,0,0,0,1
480,1.605,0.1055011655011655,0.1055011655011655,0,0.8944988344988346,0,0,0,0,1
482,1.6125000000000003,0.12095598845598846,0.12095598845598846,0,0.8790440115440117,0,0,0,0,1
484,1.5749999999999997,0.15690835480309165,0.15690835480309165,0,0.8430916451969083,0,0,0,0,1
486,1.3799999999999997,0.1595260132024838,0.1595260132024838,0,0.8404739867975163,0,0,0,0,1
488,1.4875000000000003,0.15373931623931625,0.15373931623931625,0,0.8462606837606836,0,0,0,0,1
490,1.5625,0.14304129479052077,0.14304129479052077,0,0.8569587052094793,0,0,0,0,1
492,1.5275,0.10758870214752567,0.10758870214752567,0,0.8924112978524743,0,0,0,0,1
494,1.5824999999999998,0.07321428571428572,0.07321428571428572,0,0.9267857142857142,0,0,0,0,1
496,1.5875000000000001,0.10035464535464537,0.10035464535464537,0,0.8996453546453548,0,0,0,0,1
498,1.5600000000000003,0.16599067599067596,0.16599067599067596,0,0.834009324009324,0,0,0,0,1
500,1.5299999999999998,0.12898841354723709,0.12898841354723709,0,0.871011586452763,0,0,0,0,1
502,1.5075,0.11060245310245312,0.11060245310245312,0,0.8893975468975469,0,0,0,0,1
504,1.5049999999999997,0.15051948051948053,0.15051948051948053,0,0.8494805194805195,0,0,0,0,1
506,1.5875000000000001,0.16018939393939394,0.16018939393939394,0,0.8398106060606061,0,0,0,0,1
508,1.5374999999999999,0.14896445659603552,0.14896445659603552,0,0.8510355434039644,0,0,0,0,1
510,1.5575000000000003,0.11133699633699634,0.11133699633699634,0,0.8886630036630037,0,0,0,0,1
512,1.5775000000000003,0.13876696832579183,0.13876696832579183,0,0.8612330316742082,0,0,0,0,1
514,1.5024999999999997,0.16191197691197692,0.16191197691197692,0,0.8380880230880232,0,0,0,0,1
516,1.4674999999999998,0.09093975468975468,0.09093975468975468,0,0.9090602453102454,0,0,0,0,1
518,1.3825,0.08482905982905983,0.08482905982905983,0,0.9151709401709403,0,0,0,0,1
520,1.49,0.11590770340770343,0.11590770340770343,0,0.8840922965922966,0,0,0,0,1
522,1.5299999999999998,0.1446067821067821,0.1446067821067821,0,0.8553932178932179,0,0,0,0,1
524,1.555,0.13074499030381387,0.13074499030381387,0,0.8692550096961862,0,0,0,0,1
526,1.4925,0.12883116883116882,0.12883116883116882,0,0.8711688311688311,0,0,0,0,1
528,1.5,0.08418534080298787,0.08418534080298787,0,0.9158146591970123,0,0,0,0,1
530,1.575,0.10675435675435677,0.10675435675435677,0,0.8932456432456432,0,0,0,0,1
532,1.5600000000000003,0.12623773285537992,0.12623773285537992,0,0.8737622671446201,0,0,0,0,1
534,1.5075,0.08189669807316866,0.08189669807316866,0,0.9181033019268312,0,0,0,0,1
536,1.57,0.12324979114452798,0.12324979114452798,0,0.876750208855472,0,0,0,0,1
538,1.5399999999999998,0.1208802308802309,0.1208802308802309,0,0.8791197691197692,0,0,0,0,1
540,1.4774999999999998,0.15244810744810744,0.15244810744810744,0,0.8475518925518924,0,0,0,0,1
542,1.51,0.09984848484848484,0.09984848484848484,0,0.9001515151515154,0,0,0,0,1
544,1.5500000000000003,0.11175897631779988,0.11175897631779988,0,0.8882410236822003,0,0,0,0,1
546,1.5299999999999998,0.09373254196783609,0.09373254196783609,0,0.9062674580321639,0,0,0,0,1
548,1.5225000000000002,0.12182900432900431,0.12182900432900431,0,0.8781709956709957,0,0,0,0,1
550,1.5399999999999998,0.07145354645354644,0.07145354645354644,0,0.9285464535464536,0,0,0,0,1
552,1.5474999999999997,0.06752747252747253,0.06752747252747253,0,0.9324725274725274,0,0,0,0,1
554,1.5450000000000002,0.11472027972027972,0.11472027972027972,0,0.8852797202797204,0,0,0,0,1
556,1.5274999999999999,0.0680952380952381,0.0680952380952381,0,0.9319047619047618,0,0,0,0,1
558,1.4975000000000003,0.06794917500799853,0.06794917500799853,0,0.9320508249920015,0,0,0,0,1
560,1.4849999999999999,0.12567460317460316,0.12567460317460316,0,0.8743253968253969,0,0,0,0,1
562,1.5150000000000003,0.11449175824175824,0.11449175824175824,0,0.8855082417582418,0,0,0,0,1
564,1.5199999999999998,0.09137626262626261,0.09137626262626261,0,0.9086237373737374,0,0,0,0,1
566,1.4774999999999998,0.08213827838827839,0.08213827838827839,0,0.9178617216117217,0,0,0,0,1
568,1.5075,0.09822552447552449,0.09822552447552449,0,0.9017744755244754,0,0,0,0,1
570,1.4674999999999998,0.06769034886681945,0.06769034886681945,0,0.9323096511331805,0,0,0,0,1
572,1.4925,0.06178321678321678,0.06178321678321678,0,0.9382167832167833,0,0,0,0,1
574,1.5024999999999997,0.05977272727272727,0.05977272727272727,0,0.9402272727272727,0,0,0,0,1
576,1.4725,0.07818717230481935,0.07818717230481935,0,0.9218128276951807,0,0,0,0,1
578,1.4674999999999998,0.08547619047619046,0.08547619047619046,0,0.9145238095238095,0,0,0,0,1
580,1.4925,0.10542790542790544,0.10542790542790544,0,0.8945720945720945,0,0,0,0,1
582,1.5250000000000001,0.10348788638262323,0.10348788638262323,0,0.8965121136173767,0,0,0,0,1
584,1.5374999999999999,0.09277319902319903,0.09277319902319903,0,0.907226800976801,0,0,0,0,1
586,1.5075,0.06097125097125098,0.06097125097125098,0,0.939028749028749,0,0,0,0,1
588,1.4475,0.09034854034854034,0.09034854034854034,0,0.9096514596514597,0,0,0,0,1
590,1.3725000000000003,0.07310245310245311,0.07310245310245311,0,0.9268975468975469,0,0,0,0,1
592,1.4424999999999997,0.07833333333333334,0.07833333333333334,0,0.9216666666666666,0,0,0,0,1
594,1.4399999999999997,0.048611111111111105,0.048611111111111105,0,0.951388888888889,0,0,0,0,1
596,1.4600000000000002,0.10670439209912894,0.10670439209912894,0,0.8932956079008711,0,0,0,0,1
598,1.4625000000000001,0.09935701553348612,0.09935701553348612,0,0.9006429844665138,0,0,0,0,1
600,1.4625000000000001,0.0883623321123321,0.0883623321123321,0,0.9116376678876679,0,0,0,0,1
602,1.4424999999999997,0.09749999999999999,0.09749999999999999,0,0.9024999999999999,0,0,0,0,1
604,1.4825,0.06615440115440115,0.06615440115440115,0,0.9338455988455989,0,0,0,0,1
606,1.4849999999999997,0.10733016983016982,0.10733016983016982,0,0.8926698301698304,0,0,0,0,1
608,1.4800000000000002,0.15708539826186887,0.15708539826186887,0,0.8429146017381312,0,0,0,0,1
610,1.4625000000000001,0.09092352092352092,0.09092352092352092,0,0.9090764790764793,0,0,0,0,1
612,1.4700000000000002,0.08435897435897437,0.08435897435897437,0,0.9156410256410256,0,0,0,0,1
614,1.4375,0.1378254055885635,0.1378254055885635,0,0.8621745944114366,0,0,0,0,1
616,1.4350000000000003,0.11225140056022406,0.11225140056022406,0,0.8877485994397759,0,0,0,0,1
618,1.4499999999999997,0.10483516483516483,0.10483516483516483,0,0.8951648351648351,0,0,0,0,1
620,1.4725000000000001,0.04869481395797185,0.04869481395797185,0,0.9513051860420282,0,0,0,0,1
622,1.4325000000000003,0.05769230769230769,0.05769230769230769,0,0.9423076923076923,0,0,0,0,1
624,1.4074999999999995,0.04416666666666667,0.04416666666666667,0,0.9558333333333333,0,0,0,0,1
626,1.41,0.0989069264069264,0.0989069264069264,0,0.9010930735930737,0,0,0,0,1
628,1.3925,0.10579688285570639,0.10579688285570639,0,0.8942031171442938,0,0,0,0,1
630,1.4000000000000001,0.07284965034965035,0.07284965034965035,0,0.9271503496503497,0,0,0,0,1
632,1.3949999999999998,0.05793363499245853,0.05793363499245853,0,0.9420663650075415,0,0,0,0,1
634,1.4325000000000003,0.044453781512605046,0.044453781512605046,0,0.9555462184873951,0,0,0,0,1
636,1.43,0.07902777777777777,0.07902777777777777,0,0.9209722222222222,0,0,0,0,1
638,1.4649999999999999,0.14019993894993893,0.14019993894993893,0,0.8598000610500611,0,0,0,0,1
640,1.4375,0.08492424242424243,0.08492424242424243,0,0.9150757575757578,0,0,0,0,1
642,1.4350000000000003,0.08727272727272727,0.08727272727272727,0,0.9127272727272727,0,0,0,0,1
644,1.445,0.06885281385281386,0.06885281385281386,0,0.9311471861471862,0,0,0,0,1
646,1.4175000000000002,0.1586742424242424,0.1586742424242424,0,0.8413257575757577,0,0,0,0,1
648,1.3825,0.08404761904761904,0.08404761904761904,0,0.915952380952381,0,0,0,0,1
650,1.3774999999999997,0.1007279648456119,0.1007279648456119,0,0.899272035154388,0,0,0,0,1
652,1.4074999999999995,0.1233964075140546,0.1233964075140546,0,0.8766035924859455,0,0,0,0,1
654,1.4000000000000001,0.0882117882117882,0.0882117882117882,0,0.911788211788212,0,0,0,0,1
656,1.2375000000000003,0.1562298812298812,0.1562298812298812,0,0.8437701187701189,0,0,0,0,1
658,1.3475,0.0794094794094794,0.0794094794094794,0,0.9205905205905207,0,0,0,0,1
660,1.3949999999999998,0.07900793650793651,0.07900793650793651,0,0.9209920634920635,0,0,0,0,1
662,1.3825,0.11751405457287808,0.11751405457287808,0,0.882485945427122,0,0,0,0,1
664,1.3949999999999998,0.06434676434676434,0.06434676434676434,0,0.9356532356532357,0,0,0,0,1
666,1.4175000000000002,0.09688644688644688,0.09688644688644688,0,0.9031135531135531,0,0,0,0,1
668,1.4175000000000002,0.0878943278943279,0.0878943278943279,0,0.9121056721056722,0,0,0,0,1
670,1.4224999999999997,0.05313644688644688,0.05313644688644688,0,0.9468635531135533,0,0,0,0,1
672,1.4000000000000001,0.10646686646686646,0.10646686646686646,0,0.8935331335331338,0,0,0,0,1
674,1.4000000000000001,0.07700787344750193,0.07700787344750193,0,0.9229921265524981,0,0,0,0,1
676,1.4024999999999999,0.056452020202020205,0.056452020202020205,0,0.9435479797979797,0,0,0,0,1
678,1.3975000000000002,0.04877747252747253,0.04877747252747253,0,0.9512225274725274,0,0,0,0,1
680,1.3900000000000001,0.11368990658464342,0.11368990658464342,0,0.8863100934153565,0,0,0,0,1
682,1.3874999999999995,0.07283761989644343,0.07283761989644343,0,0.9271623801035564,0,0,0,0,1
684,1.3725000000000003,0.09050116550116549,0.09050116550116549,0,0.9094988344988344,0,0,0,0,1
686,1.2537500000000001,0.08361111111111111,0.08361111111111111,0,0.9163888888888888,0,0,0,0,1
688,1.0812500000000003,0.04178321678321678,0.04178321678321678,0,0.9582167832167834,0,0,0,0,1
690,1.1775,0.14909090909090908,0.14909090909090908,0,0.850909090909091,0,0,0,0,1
692,1.2575,0.06803571428571428,0.06803571428571428,0,0.9319642857142856,0,0,0,0,1
694,1.2524999999999997,0.05073083778966132,0.05073083778966132,0,0.9492691622103386,0,0,0,0,1
696,1.2825000000000004,0.10551470588235297,0.10551470588235297,0,0.8944852941176471,0,0,0,0,1
698,1.3175000000000003,0.08055555555555556,0.08055555555555556,0,0.9194444444444445,0,0,0,0,1
700,1.2775,0.05319444444444443,0.05319444444444443,0,0.9468055555555557,0,0,0,0,1
702,1.2625,0.11524531024531023,0.11524531024531023,0,0.8847546897546898,0,0,0,0,1
704,1.2974999999999999,0.10787157287157287,0.10787157287157287,0,0.8921284271284273,0,0,0,0,1
706,1.3125,0.07428894634776988,0.07428894634776988,0,0.9257110536522302,0,0,0,0,1
708,1.305,0.09893939393939391,0.09893939393939391,0,0.9010606060606061,0,0,0,0,1
710,1.3100000000000003,0.06404151404151404,0.06404151404151404,0,0.935958485958486,0,0,0,0,1
712,1.3000000000000003,0.0778267973856209,0.0778267973856209,0,0.9221732026143792,0,0,0,0,1
714,1.2874999999999999,0.08503108003108004,0.08503108003108004,0,0.91496891996892,0,0,0,0,1
716,1.2249999999999999,0.05555555555555556,0.05555555555555556,0,0.9444444444444444,0,0,0,0,1
718,1.02025,0.11099109224109224,0.11099109224109224,0,0.8890089077589076,0,0,0,0,1
720,0.9917499999999999,0.08767149517149517,0.08767149517149517,0,0.9123285048285048,0,0,0,0,1
722,1.1750000000000003,0.06273809523809523,0.06273809523809523,0,0.9372619047619049,0,0,0,0,1
724,1.07,0.11363358863358863,0.11363358863358863,0,0.8863664113664115,0,0,0,0,1
726,1.07,0.08900793650793651,0.08900793650793651,0,0.9109920634920636,0,0,0,0,1
728,1.0500000000000003,0.1356060606060606,0.1356060606060606,0,0.8643939393939395,0,0,0,0,1
730,1.0924999999999998,0.06978535353535352,0.06978535353535352,0,0.9302146464646466,0,0,0,0,1
732,1.1400000000000001,0.07395354645354646,0.07395354645354646,0,0.9260464535464535,0,0,0,0,1
734,1.2149999999999999,0.0811501364132943,0.0811501364132943,0,0.9188498635867057,0,0,0,0,1
736,1.2025000000000003,0.07821862348178137,0.07821862348178137,0,0.9217813765182186,0,0,0,0,1
738,1.2074999999999998,0.10842032967032966,0.10842032967032966,0,0.8915796703296704,0,0,0,0,1
740,1.2100000000000002,0.11624542124542125,0.11624542124542125,0,0.8837545787545787,0,0,0,0,1
742,1.2174999999999998,0.06701631701631702,0.06701631701631702,0,0.9329836829836831,0,0,0,0,1
