Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
440,1.3000000000000003,0.01534090909090909,0.01534090909090909,0,0.983840030447778,0,0,0,0,1
442,1.4024999999999999,0.02344988344988345,0.02344988344988345,0,0.9762855763365321,0,0,0,0,1
444,1.425,0.017424242424242425,0.017424242424242425,0,0.981823939957717,0,0,0,0,1
446,1.3925,0,0,0,0.9992967289958514,0,0,0,0,1
448,1.4975000000000003,0.015384615384615385,0.015384615384615385,0,0.9842644124485911,0,0,0,0,1
450,1.5575000000000003,0.03519230769230769,0.03519230769230769,0,0.9646053865574487,0,0,0,0,1
452,1.5299999999999998,0.01,0.01,0,0.989730500495325,0,0,0,0,1
454,1.5024999999999997,0.05753357753357753,0.05753357753357753,0,0.9423146410941765,0,0,0,0,1
456,1.5600000000000003,0.024358974358974363,0.024358974358974363,0,0.9756119627568719,0,0,0,0,1
458,1.5525,0.050874125874125875,0.050874125874125875,0,0.9486204234282342,0,0,0,0,1
460,1.5374999999999999,0.0202020202020202,0.0202020202020202,0,0.9797651960470984,0,0,0,0,1
462,1.59,0,0,0,0.9996399940595524,0,0,0,0,1
464,1.5575000000000003,0.011764705882352941,0.011764705882352941,0,0.988010000897549,0,0,0,0,1
466,1.535,0.034722222222222224,0.034722222222222224,0,0.9652254338280605,0,0,0,0,1
468,1.5425000000000002,0.006666666666666666,0.006666666666666666,0,0.9933333333333334,0,0,0,0,1
470,1.5225000000000002,0.01111111111111111,0.01111111111111111,0,0.9888888888888889,0,0,0,0,1
472,1.575,0.0058823529411764705,0.0058823529411764705,0,0.9941176470588236,0,0,0,0,1
474,1.57,0.05171568627450981,0.05171568627450981,0,0.9482843137254902,0,0,0,0,1
476,1.5749999999999997,0.028333333333333332,0.028333333333333332,0,0.9616666666666667,0,0,0,0,1
478,1.5999999999999999,0.017763157894736842,0.017763157894736842,0,0.9822368421052632,0,0,0,0,1
480,1.605,0.0058823529411764705,0.0058823529411764705,0,0.9941176470588236,0,0,0,0,1
482,1.6125000000000003,0,0,0,1,0,0,0,0,1
484,1.5749999999999997,0.041666666666666664,0.041666666666666664,0,0.95,0,0,0,0,1
486,1.3799999999999997,0.04554292929292929,0.04554292929292929,0,0.9544570707070706,0,0,0,0,1
488,1.4875000000000003,0.014285714285714285,0.014285714285714285,0,0.9857142857142858,0,0,0,0,1
490,1.5625,0.01,0.01,0,0.99,0,0,0,0,1
