Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
300,0.0010633749999999999,0.2325,0.2325,0,0.7675,0,0,0,0,1
302,0.0036,0.27330128205128207,0.27330128205128207,0,0.7266987179487179,0,0,0,0,1
304,0.010512500000000003,0.20053224553224552,0.20053224553224552,0,0.7994677544677545,0,0,0,0,1
306,0.020075000000000006,0.31976773226773225,0.31976773226773225,0,0.6802322677322677,0,0,0,0,1
308,0.03715,0.37433261183261185,0.37433261183261185,0,0.6256673881673882,0,0,0,0,1
310,0.0552125,0.24861027861027857,0.24861027861027857,0,0.7513897213897216,0,0,0,0,1
312,0.0926125,0.2894877344877344,0.2894877344877344,0,0.7105122655122654,0,0,0,0,1
314,0.11937499999999998,0.2795467032967033,0.2795467032967033,0,0.7204532967032968,0,0,0,0,1
316,0.13612500000000002,0.21771936396936398,0.21771936396936398,0,0.782280636030636,0,0,0,0,1
318,0.18237499999999998,0.3237542849307555,0.3237542849307555,0,0.6762457150692445,0,0,0,0,1
320,0.21800000000000003,0.28822344322344323,0.28822344322344323,0,0.7117765567765567,0,0,0,0,1
322,0.22675,0.2666489556195438,0.2666489556195438,0,0.7333510443804562,0,0,0,0,1
324,0.26250000000000007,0.17015345765345763,0.17015345765345763,0,0.8298465423465424,0,0,0,0,1
326,0.36162500000000003,0.260027195027195,0.260027195027195,0,0.739972804972805,0,0,0,0,1
328,0.3785,0.26695506248137824,0.26695506248137824,0,0.7330449375186218,0,0,0,0,1
330,0.44387500000000013,0.23787072404719461,0.23787072404719461,0,0.7621292759528053,0,0,0,0,1
332,0.4262499999999999,0.24325508340988217,0.24325508340988217,0,0.7567449165901177,0,0,0,0,1
334,0.42737499999999995,0.26696248196248196,0.26696248196248196,0,0.733037518037518,0,0,0,0,1
336,0.4162499999999999,0.2492929292929293,0.2492929292929293,0,0.7507070707070708,0,0,0,0,1
338,0.425875,0.2524841824841825,0.2524841824841825,0,0.7475158175158175,0,0,0,0,1
340,0.4845,0.20152198678514463,0.20152198678514463,0,0.7984780132148553,0,0,0,0,1
342,0.4883749999999999,0.2597907647907648,0.2597907647907648,0,0.7402092352092351,0,0,0,0,1
344,0.44737499999999997,0.21511266511266514,0.21511266511266514,0,0.7848873348873349,0,0,0,0,1
346,0.48112500000000014,0.2908333333333333,0.2908333333333333,0,0.7091666666666667,0,0,0,0,1
348,0.477375,0.2807109557109557,0.2807109557109557,0,0.7192890442890443,0,0,0,0,1
350,0.5190000000000001,0.17595959595959595,0.17595959595959595,0,0.8240404040404039,0,0,0,0,1
352,0.5168749999999999,0.30854700854700856,0.30854700854700856,0,0.6914529914529913,0,0,0,0,1
354,0.5871250000000001,0.29146601764248825,0.29146601764248825,0,0.7085339823575117,0,0,0,0,1
356,0.5478750000000001,0.3521966921966922,0.3521966921966922,0,0.6478033078033076,0,0,0,0,1
358,0.43737499999999996,0.26849650349650345,0.26849650349650345,0,0.7315034965034966,0,0,0,0,1
360,0.5543750000000002,0.2259935897435898,0.2259935897435898,0,0.7740064102564104,0,0,0,0,1
362,0.5458749999999999,0.2606691919191919,0.2606691919191919,0,0.739330808080808,0,0,0,0,1
364,0.5997500000000001,0.320952380952381,0.320952380952381,0,0.679047619047619,0,0,0,0,1
366,0.7056249999999998,0.26483377733377733,0.26483377733377733,0,0.7351662226662226,0,0,0,0,1
368,0.6850000000000002,0.28381035631035634,0.28381035631035634,0,0.7161896436896438,0,0,0,0,1
370,0.7169999999999999,0.18023809523809523,0.18023809523809523,0,0.8197619047619048,0,0,0,0,1
