wavelength	n	k
76.5782	1.512582	0.608593
76.9144	1.51596	0.599843
77.252	1.518591	0.591411
77.5911	1.520463	0.58357
77.9318	1.521958	0.577077
78.2739	1.523838	0.571832
78.6175	1.526195	0.566353
78.9626	1.528649	0.560782
79.3092	1.531088	0.555171
79.6574	1.533458	0.549546
80.0071	1.535733	0.543925
80.3583	1.537895	0.538318
80.7111	1.539937	0.532735
81.0654	1.541852	0.527179
81.4213	1.543639	0.521653
81.7787	1.545303	0.516154
82.1377	1.546854	0.510664
82.4983	1.548272	0.505085
82.8604	1.549378	0.499208
83.2242	1.549932	0.493281
83.5895	1.550008	0.487919
83.9565	1.550052	0.483356
84.325	1.550201	0.478763
84.6952	1.550279	0.47422
85.067	1.550241	0.469755
85.4405	1.55007	0.465379
85.8155	1.549761	0.461091
86.1923	1.549318	0.456861
86.5706	1.548716	0.452539
86.9507	1.547536	0.447532
87.3324	1.5451	0.44234
87.7158	1.541323	0.438345
88.1008	1.536346	0.435819
88.4876	1.5301	0.436086
88.876	1.526843	0.446266
89.2662	1.533004	0.459205
89.6581	1.542282	0.453815
90.0517	1.544354	0.442449
90.447	1.53981	0.43726
90.844	1.537663	0.446421
91.2428	1.542344	0.452922
91.6434	1.550929	0.455904
92.0457	1.561941	0.453592
92.4497	1.57012	0.439965
92.8556	1.572935	0.427591
93.2632	1.572951	0.415678
93.6726	1.56904	0.401269
94.0838	1.56047	0.390121
94.4969	1.548921	0.383402
94.9117	1.536161	0.382669
95.3284	1.527699	0.392156
95.7468	1.524122	0.395446
96.1672	1.520482	0.395566
96.5893	1.516092	0.39499
97.0133	1.509704	0.390313
97.4392	1.493412	0.377165
97.867	1.468672	0.384131
98.2966	1.451511	0.411995
98.7281	1.443294	0.43027
99.1615	1.430197	0.438304
99.5968	1.410291	0.461196
100.034	1.39467	0.504175
100.473	1.394182	0.561164
100.914	1.406965	0.608032
101.357	1.426614	0.65332
101.802	1.450337	0.693004
102.249	1.478988	0.74001
102.698	1.518661	0.791328
103.149	1.569325	0.838845
103.602	1.637783	0.898753
104.056	1.741224	0.9589
104.513	1.880297	0.972986
104.972	2.014147	0.887666
105.433	2.097264	0.75041
105.896	2.121767	0.616078
106.361	2.111039	0.5304
106.827	2.101072	0.492356
107.296	2.106338	0.459934
107.767	2.123857	0.423267
108.241	2.1427	0.358978
108.716	2.141217	0.267565
109.193	2.106695	0.178498
109.672	2.052598	0.131735
110.154	2.006438	0.124047
110.637	1.974922	0.116392
111.123	1.950236	0.108771
111.611	1.929626	0.101183
112.101	1.911703	0.093629
112.593	1.895621	0.086107
113.087	1.880776	0.078618
113.584	1.866709	0.071337
114.082	1.853466	0.06495
114.583	1.841058	0.058591
115.086	1.829123	0.05226
115.591	1.817382	0.045956
116.099	1.805479	0.03968
116.608	1.792667	0.033503
117.12	1.780255	0.03164
117.634	1.769535	0.029786
118.151	1.759754	0.02794
118.669	1.750613	0.026102
119.19	1.741882	0.024272
119.714	1.733613	0.022941
120.239	1.725884	0.021625
120.767	1.718549	0.020315
121.297	1.711487	0.01901
121.83	1.7047	0.017978
122.364	1.698347	0.017231
122.902	1.692497	0.016486
123.441	1.687244	0.015745
123.983	1.68219	0.013826
124.527	1.67666	0.011427
125.074	1.67033	0.009037
125.623	1.663965	0.008738
126.175	1.658303	0.008544
126.728	1.653062	0.008351
127.285	1.64812	0.008158
127.844	1.643419	0.007966
128.405	1.638921	0.007775
128.968	1.634597	0.007585
129.535	1.630418	0.007396
130.103	1.62639	0.007279
130.674	1.622525	0.007171
131.248	1.618808	0.007064
131.824	1.615223	0.006958
132.403	1.611762	0.006851
132.984	1.608424	0.006746
133.568	1.605201	0.006619
134.154	1.602063	0.006439
134.743	1.598988	0.00626
135.335	1.595979	0.006082
135.929	1.593031	0.005904
136.526	1.590134	0.005725
137.125	1.587268	0.005547
137.727	1.584389	0.00538
138.331	1.581601	0.005527
138.939	1.579009	0.005673
139.549	1.576586	0.005819
140.161	1.574295	0.005851
140.777	1.572076	0.005798
141.395	1.569897	0.005664
142.015	1.56772	0.00546
142.639	1.565534	0.005258
143.265	1.563341	0.005056
143.894	1.561128	0.004881
144.525	1.558963	0.004884
145.16	1.556899	0.004887
145.797	1.55491	0.00489
146.437	1.55299	0.004893
147.08	1.551137	0.004881
147.726	1.549326	0.004813
148.374	1.547537	0.004744
149.026	1.545778	0.004677
149.68	1.544049	0.004609
150.337	1.542352	0.004542
150.997	1.540682	0.004475
151.66	1.539036	0.004409
